"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","394","test_get_employees","yosef-code.tests","Sat Sep 27 18:34:37 UTC 2025","passed","Sat Sep 27 18:34:38 UTC 2025","TestGetEmployees","test_get_employees","",""
"Test creating a new base - matches POST /api/v2/meta/bases/","373","test_create_base","yosef-code.tests","Sat Sep 27 18:34:11 UTC 2025","passed","Sat Sep 27 18:34:11 UTC 2025","TestBaseOperations","test_base_operations","",""
"Test getting form view metadata - matches GET /api/v2/meta/forms/{formViewId}","298","test_get_form_view_metadata","yosef-code.tests","Sat Sep 27 18:35:58 UTC 2025","passed","Sat Sep 27 18:35:59 UTC 2025","TestViews","test_views","",""
"Test getting table metadata - matches GET /api/v2/meta/tables/{tableId}","487","test_get_table_metadata","yosef-code.tests","Sat Sep 27 18:35:31 UTC 2025","passed","Sat Sep 27 18:35:32 UTC 2025","TestTableOperations","test_table_operations","",""
"","10842","test_duplicate_base","tests","Sat Sep 27 18:38:55 UTC 2025","passed","Sat Sep 27 18:39:06 UTC 2025","TestDuplicateBase","test_duplicate_base","",""
"Test that the server is running and responding","636","test_server_up","yosef-code.tests","Sat Sep 27 18:35:13 UTC 2025","passed","Sat Sep 27 18:35:14 UTC 2025","TestServerHealth","test_server_health","",""
"Test getting table views - matches GET /api/v2/meta/tables/{tableId}/views","307","test_get_table_views","yosef-code.tests","Sat Sep 27 18:35:40 UTC 2025","passed","Sat Sep 27 18:35:40 UTC 2025","TestViews","test_views","",""
"Test getting all bases - matches GET /api/v2/meta/bases/","303","test_get_all_bases","yosef-code.tests","Sat Sep 27 18:34:02 UTC 2025","passed","Sat Sep 27 18:34:02 UTC 2025","TestBaseOperations","test_base_operations","",""
"Test creating a new grid view - matches POST /api/v2/meta/tables/{tableId}/grids","362","test_create_grid_view","yosef-code.tests","Sat Sep 27 18:35:49 UTC 2025","passed","Sat Sep 27 18:35:50 UTC 2025","TestViews","test_views","",""
"Test getting tables from a base - matches GET /api/v2/meta/bases/{baseId}/tables","329","test_get_base_tables","yosef-code.tests","Sat Sep 27 18:35:23 UTC 2025","passed","Sat Sep 27 18:35:23 UTC 2025","TestTableOperations","test_table_operations","",""
"Test getting employee with invalid token - should return 401 unauthorized","306","test_get_employee_unauthorized","yosef-code.tests","Sat Sep 27 18:35:05 UTC 2025","passed","Sat Sep 27 18:35:05 UTC 2025","TestGetEmployees","test_get_employees","",""
"","367","test_delete_employee_id","yosef-code.tests","Sat Sep 27 18:34:19 UTC 2025","passed","Sat Sep 27 18:34:20 UTC 2025","TestDeleteEmployee","test_delete_employee","",""
"Test getting a specific employee by ID - matches curl GET request","354","test_get_employee_by_id","yosef-code.tests","Sat Sep 27 18:34:47 UTC 2025","passed","Sat Sep 27 18:34:47 UTC 2025","TestGetEmployees","test_get_employees","",""
"","14435","test_create_roles_gallery","tests","Sat Sep 27 18:38:07 UTC 2025","passed","Sat Sep 27 18:38:21 UTC 2025","TestCreateRolesGallery","test_create_roles_gallery","",""
"","15998","test_create_new_table","tests","Sat Sep 27 18:38:30 UTC 2025","passed","Sat Sep 27 18:38:46 UTC 2025","TestCreateNewTable","test_create_table","",""
"Test getting a non-existent employee by ID - should return 404 or similar error","381","test_get_employee_by_id_not_found","yosef-code.tests","Sat Sep 27 18:34:56 UTC 2025","passed","Sat Sep 27 18:34:56 UTC 2025","TestGetEmployees","test_get_employees","",""
"Test deleting a non-existent employee - should return error status","366","test_delete_employee_not_found","yosef-code.tests","Sat Sep 27 18:34:28 UTC 2025","passed","Sat Sep 27 18:34:29 UTC 2025","TestDeleteEmployee","test_delete_employee","",""
"Test adding an employee with minimal required data.","399","test_add_employee_minimal_data","yosef-code.tests","Sat Sep 27 18:33:44 UTC 2025","passed","Sat Sep 27 18:33:44 UTC 2025","TestAddEmployee","test_add_employee","",""
"Test getting base metadata - matches GET /api/v2/meta/bases/{baseId}","310","test_get_base_meta","yosef-code.tests","Sat Sep 27 18:33:53 UTC 2025","passed","Sat Sep 27 18:33:53 UTC 2025","TestBaseOperations","test_base_operations","",""
